alpha	fill	x	y	stroke	showSelected2
1	#70AD47	1.30655786078977	-0.536449823537586	1.2	second class
1	#70AD47	0.681931625456156	0.0706378525462976	1.2	second class
1	#70AD47	1.53149619263257	-0.518394081786787	1.2	second class
1	#70AD47	1.06016044043452	0.411105513740336	1.2	second class
1	#4472C4	0.511781168450848	-0.610156763588569	1.2	first class
1	#70AD47	0.699023873163389	0.471720095554994	1.2	second class
1	#70AD47	0.792619256398035	0.607192070558016	1.2	second class
1	#4472C4	1.40161776050478	-1.03924000273317	1.2	first class
1	#4472C4	0.100025371983883	-0.236824251542456	1.2	first class
1	#70AD47	0.680007131451493	0.720886697023441	1.2	second class
1	#70AD47	0.364263546051023	0.538355269639434	1.2	second class
1	#70AD47	0.785420591453131	0.820443469956613	1.2	second class
1	#70AD47	1.49418833126783	0.822669517730394	1.2	second class
1	#70AD47	2.00002880371391	0.378733305203177	1.2	second class
1	#70AD47	0.318339521244343	0.675729727753681	1.2	second class
1	#70AD47	0.926435595873674	0.962365828532952	1.2	second class
1	#4472C4	-0.0810226283917818	-0.217863699268933	1.2	first class
1	#4472C4	0.358679551529044	-1.102787727343	1.2	first class
1	#70AD47	2.1780869965732	-0.523566800429762	1.2	second class
1	#70AD47	0.431331267181498	0.864821384876168	1.2	second class
1	#70AD47	1.45018710127266	0.981440167285362	1.2	second class
1	#70AD47	-0.115920105042845	0.249180998806552	1.2	second class
1	#4472C4	-0.178778804901911	-0.406098678782491	1.2	first class
1	#4472C4	0.124930918143108	-1.04493360901523	1.2	first class
1	#4472C4	0.433023701701037	0.98039989850586	1.2	first class
1	#70AD47	2.06309983727636	0.695816076365699	1.2	second class
1	#70AD47	0.347905219319001	0.943103222152607	1.2	second class
1	#4472C4	-0.303036624595263	-0.443336801326343	1.2	first class
1	#70AD47	0.379633322775876	1.04211587314424	1.2	second class
1	#70AD47	-0.286300530434326	-0.640605534418578	1.2	second class
0.3	#70AD47	2.43228223854166	0.349303646689633	0.5	second class
0.3	#70AD47	-0.224612614898356	0.526599363560688	0.5	second class
0.3	#70AD47	-0.276592208458037	0.426734585763114	0.5	second class
0.3	#70AD47	1.37001880991629	1.26709879077223	0.5	second class
0.3	#70AD47	-0.487460310141485	-0.0751922966156808	0.5	second class
0.3	#4472C4	-0.512570947571515	-0.261675294870783	0.5	first class
0.3	#4472C4	-0.310260637549223	-0.971997841219334	0.5	first class
0.3	#70AD47	1.59394618762842	1.33295037121352	0.5	second class
0.3	#70AD47	0.0890783514475545	1.15802877240408	0.5	second class
0.3	#4472C4	-0.38017425210529	-1.056128739529	0.5	first class
0.3	#4472C4	-0.63541803786317	-0.231467075484584	0.5	first class
0.3	#4472C4	-0.430280372557587	-1.13505460388082	0.5	first class
0.3	#70AD47	-0.664972436212003	0.536469598527614	0.5	second class
0.3	#4472C4	-0.424218648346508	-1.30538838715636	0.5	first class
0.3	#70AD47	0.899809258786438	1.71266630705141	0.5	second class
0.3	#4472C4	-0.612328388440631	-1.05380504058291	0.5	first class
0.3	#4472C4	-1.01619026309895	-0.0561637893147008	0.5	first class
0.3	#70AD47	2.16040261569495	1.700213649515	0.5	second class
0.3	#4472C4	-1.11234621215023	-0.118892273545785	0.5	first class
0.3	#70AD47	1.71670747601721	1.91017422949523	0.5	second class
0.3	#4472C4	-0.601894119632932	-1.61202639325077	0.5	first class
0.3	#4472C4	-0.524490471100338	-1.70994643092181	0.5	first class
0.3	#4472C4	-0.389273646510945	-1.93409763164425	0.5	first class
0.3	#70AD47	2.58683345454085	1.5584864255653	0.5	second class
0.3	#4472C4	-0.846746661788102	1.17261167036215	0.5	first class
0.3	#70AD47	3.08716654562835	1.01739561969325	0.5	second class
0.3	#4472C4	-0.67049222818464	-1.82046838411802	0.5	first class
0.3	#4472C4	-0.925658675848336	-1.58952094618807	0.5	first class
0.3	#70AD47	0.45747996900835	2.20786780598317	0.5	second class
0.3	#4472C4	-1.16452359625359	-1.25336168013651	0.5	first class
0.3	#4472C4	-1.47815005510862	-0.582058439800298	0.5	first class
0.3	#70AD47	0.494042537885743	2.34303882517041	0.5	second class
0.3	#4472C4	-0.658880308575575	-2.12936309608079	0.5	first class
0.3	#4472C4	-1.39428995371035	-1.05931339671119	0.5	first class
0.3	#4472C4	-1.44329187321843	-0.998894648368376	0.5	first class
0.3	#4472C4	-1.62645381074233	-0.816356675777918	0.5	first class
0.3	#70AD47	1.38418535782634	2.68217608051942	0.5	second class
0.3	#4472C4	-1.74327320888241	-0.811207700485657	0.5	first class
0.3	#4472C4	-1.83562861241005	0.595280802137792	0.5	first class
0.3	#70AD47	0.345415356081182	2.76728726937265	0.5	second class
0.3	#4472C4	-1.36722147646651	-2.04413462631653	0.5	first class
0.3	#70AD47	-0.914359425680012	2.17658331201856	0.5	second class
0.3	#4472C4	-1.68875569454952	-1.70749515696212	0.5	first class
0.3	#4472C4	-1.15579550670533	-2.47075238389927	0.5	first class
0.3	#4472C4	-2.2536334002391	-0.708553764482537	0.5	first class
0.3	#70AD47	-0.384426847384491	2.86929062242358	0.5	second class
0.3	#4472C4	-0.925435016634809	-2.98935169586337	0.5	first class
0.3	#4472C4	-2.37705955682861	-1.41499456329968	0.5	first class
0.3	#4472C4	-2.80495862889104	0.465554861562886	0.5	first class
0.3	#4472C4	-1.6212405805418	-3.2146998871775	0.5	first class
