x	xend	y	yend	showSelected1
0.6	0.782025085341705	0.3	0.497676546890698	1
0.6	0.782025085341705	0.3	0.497676546890698	2
0.6	0.786913136803078	0.3	0.51647060442954	2
0.6	0.782025085341705	0.3	0.497676546890698	3
0.6	0.786913136803078	0.3	0.51647060442954	3
0.6	0.374960732150743	0.3	-0.0717912264755778	3
0.6	0.782025085341705	0.3	0.497676546890698	4
0.6	0.786913136803078	0.3	0.51647060442954	4
0.6	0.374960732150743	0.3	-0.0717912264755778	4
0.6	0.27110877070886	0.3	-0.0185753831070887	4
0.6	0.782025085341705	0.3	0.497676546890698	5
0.6	0.786913136803078	0.3	0.51647060442954	5
0.6	0.374960732150743	0.3	-0.0717912264755778	5
0.6	0.27110877070886	0.3	-0.0185753831070887	5
0.6	0.619528998987617	0.3	0.861108637560955	5
0.6	0.782025085341705	0.3	0.497676546890698	6
0.6	0.786913136803078	0.3	0.51647060442954	6
0.6	0.374960732150743	0.3	-0.0717912264755778	6
0.6	0.27110877070886	0.3	-0.0185753831070887	6
0.6	0.619528998987617	0.3	0.861108637560955	6
0.6	0.938088289423278	0.3	-0.220717712254536	6
0.6	0.782025085341705	0.3	0.497676546890698	7
0.6	0.786913136803078	0.3	0.51647060442954	7
0.6	0.374960732150743	0.3	-0.0717912264755778	7
0.6	0.27110877070886	0.3	-0.0185753831070887	7
0.6	0.619528998987617	0.3	0.861108637560955	7
0.6	0.938088289423278	0.3	-0.220717712254536	7
0.6	-0.0260044483072397	0.3	0.66679261633058	7
0.6	0.782025085341705	0.3	0.497676546890698	8
0.6	0.786913136803078	0.3	0.51647060442954	8
0.6	0.374960732150743	0.3	-0.0717912264755778	8
0.6	0.27110877070886	0.3	-0.0185753831070887	8
0.6	0.619528998987617	0.3	0.861108637560955	8
0.6	0.938088289423278	0.3	-0.220717712254536	8
0.6	-0.0260044483072397	0.3	0.66679261633058	8
0.6	1.42646422147681	0.3	0.508968833943465	8
0.6	0.782025085341705	0.3	0.497676546890698	9
0.6	0.786913136803078	0.3	0.51647060442954	9
0.6	0.374960732150743	0.3	-0.0717912264755778	9
0.6	0.27110877070886	0.3	-0.0185753831070887	9
0.6	0.619528998987617	0.3	0.861108637560955	9
0.6	0.938088289423278	0.3	-0.220717712254536	9
0.6	-0.0260044483072397	0.3	0.66679261633058	9
